Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2018-05-01,3.7,4.37,2.3175,0.7761,9.974473,3.76,3.32,136.9,1.7,100.6,4.03,0.329,32.748,45.5
2018-06-01,3.6,4.38,2.365,0.7328,9.926307,3.8,-1.75,151.6,1.91,99.89,3.93,0.213,24.95,41.55
2018-07-01,3.6,4.42,2.373,0.8303,9.926307,3.8,10.33,133.7,1.91,99.89,3.93,0.055,23.256,40.1
2018-08-01,3.5,4.39,2.345,0.7681,9.926307,3.8,6.2,138.2,1.91,99.89,3.93,0.251,28.002,38.2
2018-09-01,3.5,4.54,2.379,0.9139,9.906142,3.79,2.07,143.5,2.18,99.34,3.77,0.087,25.114,38.0
2018-10-01,3.5,4.73,2.265,1.0798,9.906142,3.79,6.66,136.5,2.2,99.34,3.77,0.164,41.426,41.4
2018-11-01,3.5,4.68,2.195,1.0193,9.906142,3.79,1.98,143.7,2.2,99.34,3.77,0.097,47.586,42.9
2018-12-01,3.5,4.47,1.938,0.9692,9.9276,3.9,0.93,131.1,2.4,98.68,3.83,0.182,50.34,39.3
2019-01-01,3.5,4.4,2.098,0.7639,9.9276,3.9,6.68,134.5,2.4,98.68,3.83,0.258,55.744,30.1
2019-02-01,3.5,4.34,2.142,0.7688,9.9276,3.9,2.54,138.9,2.4,98.68,3.83,0.005,56.55,19.6
2019-03-01,3.4,3.99,2.082,0.5282,9.898976,3.89,0.2,135.1,2.43,97.95,3.87,0.227,57.963,9.6
2019-04-01,3.3,4.02,2.152,0.5506,9.898976,3.89,6.92,149.9,2.45,97.95,3.87,0.308,64.886,3.2
2019-05-01,3.3,4.02,1.951,0.3814,9.898976,3.89,2.83,158.4,2.4,97.95,3.87,0.038,65.427,-7.59
2019-06-01,3.3,3.77,1.914,0.3005,9.951999,3.88,-0.75,130.8,2.4,98.58,3.63,0.204,76.11,-27.65
2019-07-01,3.2,3.79,1.959,0.2619,9.951999,3.88,11.19,140.7,2.4,98.58,3.63,0.09,69.604,-33.6
2019-08-01,3.2,3.66,1.785,-0.0486,9.951999,3.88,1.04,143.7,2.13,98.58,3.63,0.221,57.445,-54.5
